#
# Problem instance for: TSP
#
# Created with ProblemGenerator version: 0.1
#
# Java version used: 1.8.0_73
#
# Global seed for randomness: -198465108435
#
#
# Problem Parameters:
# cities: 1000
#
id;x;y
367;6668.57;1919.11
368;7109.11;3208.35
369;1213.54;5223.77
370;2628.23;6931.19
371;1786.47;2887.56
372;6176.16;4179.27
373;2742.71;7161.07
374;3651.87;8214.86
375;4775.04;1352.65
376;8390.55;3597.71
377;4563.02;4491.83
378;3346.38;2874.30
379;5762.94;9121.13
380;880.40;463.61
381;9211.27;2747.91
382;6097.18;4256.41
383;9247.24;6973.58
384;738.66;2212.08
385;8656.21;866.91
386;7270.63;2067.36
387;6893.45;6758.98
388;6986.46;7163.95
389;4968.81;7311.66
390;1704.83;356.88
391;5655.97;2447.34
392;5952.72;983.25
393;9535.50;3526.81
394;5401.69;6950.92
395;5789.34;23.38
396;7765.07;5149.46
397;1634.95;865.17
398;4365.64;8590.48
399;5820.50;8603.84
400;4147.64;7952.39
401;9698.43;9616.81
402;7034.26;8534.40
403;4052.43;7661.46
404;220.83;1017.37
405;1074.29;1273.55
406;9246.14;5884.01
407;8669.49;7738.30
408;5498.60;6868.74
409;8616.77;7661.81
410;3191.23;8387.34
411;1014.75;4531.22
412;1778.30;5539.30
413;4919.42;3076.50
414;4289.17;2980.77
415;9109.65;8732.43
416;8118.64;733.60
417;7513.50;8048.84
418;2440.61;825.97
419;986.22;6507.80
420;5600.90;8552.91
421;851.72;5880.93
422;6597.22;6099.79
423;9902.32;7995.85
424;7068.86;4289.63
425;3397.46;5579.83
426;4095.29;295.14
427;6010.05;3710.12
428;9542.61;5298.93
429;640.01;7323.96
430;8698.61;6290.41
431;1547.77;1227.90
432;9501.65;455.54
433;7355.94;9094.75
434;3795.63;8945.52
435;9125.98;7047.86
436;3732.56;9203.38
437;4937.02;5606.14
438;9696.46;1482.13
439;5177.38;999.74
440;936.57;5705.96
441;2105.02;3164.99
442;6474.85;9406.10
443;3141.39;3088.62
444;1792.32;6105.22
445;9833.61;6595.01
446;6300.53;6229.77
447;3453.57;5156.73
448;7669.12;9396.77
449;3797.75;6857.13
450;1707.25;7752.05
451;9910.09;2245.57
452;686.09;4929.25
453;170.87;499.07
454;8741.78;4154.02
455;4477.63;1041.16
456;312.33;2035.62
457;3090.10;4566.97
458;6439.20;1667.88
459;5119.07;5285.27
460;4203.66;9804.30
461;4609.99;3111.89
462;6569.83;8077.16
463;3705.24;535.30
464;3471.06;7497.81
465;464.79;3923.89
466;103.01;8805.83
467;3582.96;3155.88
468;5076.20;8626.84
469;7459.96;6626.68
470;9333.19;2854.25
471;8869.91;924.70
472;6549.31;4187.52
473;812.85;5765.50
474;7113.51;339.73
475;46.35;5135.64
476;724.85;3069.75
477;2263.12;5021.10
478;7142.29;5899.52
479;2914.22;6581.86
480;690.10;144.29
481;2273.08;1182.66
482;1747.60;4714.03
483;493.88;301.70
484;7642.12;5036.55
485;2138.39;9012.41
486;6115.39;408.12
487;9928.76;6470.23
488;6848.36;7094.83
489;4329.25;634.76
490;406.41;6588.21
491;8968.23;7319.23
492;9406.15;4560.83
493;1882.52;5582.88
494;3707.19;6273.16
495;9099.08;2468.44
496;9996.55;8450.19
497;165.14;135.31
498;6260.47;5976.50
499;4895.82;7550.85
500;3327.69;4151.04
501;6828.95;7075.62
502;8920.36;3698.10
503;1660.24;3514.92
504;4463.07;6248.15
505;8277.43;9507.87
506;1277.55;2582.87
507;5920.37;6486.42
508;729.98;4580.64
509;3464.60;4860.61
510;2399.83;4504.41
511;5859.33;572.83
512;5403.53;2041.03
513;8346.32;7712.33
514;633.38;331.41
515;1244.28;8493.04
516;5861.41;7123.44
517;6804.45;2571.11
518;1409.91;6134.58
519;4925.75;7415.20
520;1404.84;6728.72
521;6364.03;241.35
522;4505.19;7091.95
523;477.82;9885.46
524;8440.96;7234.38
525;9523.92;3910.32
526;4694.17;3350.39
527;3049.26;2230.54
528;3222.02;4337.09
529;4021.11;3587.34
530;2248.00;4601.02
531;2996.11;5316.77
532;4836.53;4675.55
533;7849.07;28.48
534;2218.26;2626.55
535;4365.90;5048.64
536;3647.96;4741.64
537;7350.50;1779.54
538;3953.79;3578.12
539;2803.92;2489.39
540;2876.00;5087.52
541;9204.60;1470.10
542;4795.36;4239.63
543;9951.72;5986.74
544;3515.90;336.57
545;9629.49;9991.53
546;4393.46;9037.31
547;3908.33;186.36
548;5291.15;8006.03
549;6619.69;9691.67
550;8594.64;7052.30
551;7824.29;9315.98
552;8834.73;1649.05
553;3539.42;219.06
554;4341.58;794.13
555;1199.10;4623.00
556;6794.39;6323.98
557;4891.61;3149.57
558;9532.35;992.86
559;952.03;8348.22
560;4057.12;6898.86
561;7583.24;4028.10
562;4283.98;4167.75
563;1836.97;9118.82
564;9788.27;2198.66
565;3507.19;2958.35
566;2545.86;2230.14
567;8271.37;6143.06
568;6480.48;503.34
569;1760.87;7373.30
570;5508.13;5878.56
571;2149.70;2089.78
572;3707.86;4404.39
573;1322.08;3119.33
574;750.43;6043.65
575;3711.73;7035.33
576;6780.68;5527.67
577;7502.31;2486.72
578;3576.37;140.95
579;5035.92;8360.86
580;2995.87;2130.45
581;7997.80;319.42
582;9478.86;2389.09
583;8228.26;3982.74
584;678.66;5080.38
585;6858.70;1836.84
586;9181.91;9951.49
587;2876.83;8798.90
588;8710.67;224.25
589;7196.66;8300.42
590;203.87;9159.13
591;9842.45;6733.95
592;6739.77;7654.30
593;5951.07;9157.97
594;1387.68;8572.38
595;955.69;3265.83
596;8767.02;879.93
597;6534.42;1798.43
598;9343.35;8139.57
599;6690.55;5816.89
600;5305.97;1412.69
601;7676.93;2549.89
602;8247.94;6210.23
603;6385.15;1892.13
604;1809.69;6772.16
605;9290.84;5053.77
606;6948.44;8660.72
607;8079.74;7347.43
608;3560.83;2420.79
609;8674.71;4647.83
610;9812.76;6890.12
611;7542.31;9670.66
612;9719.90;635.31
613;2877.96;9891.04
614;274.33;3944.16
615;8552.18;3658.34
616;1727.36;1822.63
617;5546.00;4862.79
618;8515.29;525.01
619;9011.74;9370.80
620;3754.48;6287.98
621;9066.27;8369.64
622;7234.00;5144.79
623;9956.86;4748.56
624;5398.62;6963.16
625;5335.54;8692.11
626;1941.81;5180.47
627;7036.13;7772.83
628;9317.95;6102.69
629;968.65;5004.48
630;4734.67;8088.21
631;6529.23;5552.82
632;9001.17;1455.66
633;5269.15;9100.41
634;2984.68;4534.67
635;474.92;222.76
636;4367.34;9921.08
637;1782.11;3557.10
638;6897.11;7703.38
639;7978.67;4031.51
640;5391.31;9194.58
641;6749.32;4970.86
642;2377.99;5533.74
643;2270.62;8507.32
644;6449.88;414.26
645;287.38;3397.01
646;8157.74;5150.64
647;5583.77;5080.92
648;6584.17;7313.50
649;8608.74;1626.66
650;8616.09;1242.40
651;6423.05;7049.36
652;3373.43;9888.54
653;8106.30;433.45
654;6253.57;2644.94
655;6295.41;5263.76
656;615.56;3088.61
657;4621.58;8422.93
658;254.96;3889.91
659;5471.26;2423.54
660;2509.79;3536.50
661;3717.02;7617.36
662;89.93;974.57
663;9847.66;3360.03
664;9536.67;9787.34
665;272.57;8408.88
666;5596.30;3111.38
667;3483.40;1192.33
668;3730.81;4133.32
669;8226.98;13.71
670;7491.02;4714.97
671;3876.52;1738.12
672;3541.59;6462.38
673;3783.96;5060.30
674;4754.51;4384.33
675;9554.31;1062.32
676;977.25;3178.42
677;7903.76;9444.17
678;7833.28;138.07
679;2046.40;3546.33
680;6227.58;6691.03
681;6400.21;1082.34
682;9106.48;2660.56
683;6810.96;360.82
684;7460.55;3482.48
685;8463.72;3700.04
686;4561.52;816.76
687;184.51;724.62
688;5988.25;1259.79
689;6930.54;4282.63
690;3124.11;6193.44
691;1925.68;832.83
692;9497.34;8199.70
693;6118.43;5325.49
694;2587.99;5924.83
695;5422.97;7836.70
696;8539.47;9794.33
697;5549.31;5514.68
698;3589.77;5560.32
699;137.24;8758.27
700;3976.79;1305.40
701;378.94;4971.20
702;5574.10;6232.09
703;3348.78;6722.47
704;5578.12;6334.73
705;1854.16;3691.66
706;1194.47;2880.47
707;779.71;9389.56
708;4460.78;4518.94
709;3617.84;4318.19
710;8095.08;2794.90
711;8161.62;6970.69
712;4573.68;3856.06
713;2181.98;2870.37
714;9518.88;6228.17
715;8319.14;9709.44
716;916.83;5671.95
717;2389.16;3572.03
718;7687.37;3341.93
719;839.41;7212.05
720;4692.58;2734.27
721;1182.74;6405.68
722;6397.17;4241.15
723;3898.06;4509.25
724;8083.95;3521.85
725;5506.07;8527.40
726;1778.90;1355.34
727;311.74;2232.48
728;3855.39;8157.34
729;2651.06;3175.13
730;2663.63;5924.45
731;2387.77;787.32
732;7471.18;4010.73
733;3876.38;2202.87
734;4502.09;2847.15
735;2641.03;906.84
736;1926.86;1481.85
737;4615.64;873.98
738;3282.17;649.39
739;9948.49;5467.87
740;7989.03;2969.46
741;7095.85;6046.05
742;8389.76;5830.99
743;3211.64;9952.84
744;5038.69;534.76
745;3686.48;1380.43
746;5858.53;3348.07
747;7097.26;1440.07
748;213.67;267.24
749;1799.37;5709.03
750;5953.74;7489.19
751;6926.63;8505.36
752;6045.18;3860.54
753;3659.94;3191.30
754;1535.44;9903.00
755;2283.71;6917.54
756;9284.02;406.31
757;6769.86;6394.20
758;6146.45;4035.11
759;1412.44;8511.03
760;6111.66;3913.63
761;3381.58;5927.91
762;3270.41;7732.17
763;973.60;3118.02
764;1431.53;4562.10
765;9805.04;2770.24
766;705.10;8270.82
767;8231.38;5943.15
768;2435.76;4196.17
769;8866.82;1912.31
770;6496.52;6569.38
771;5240.19;5263.51
772;9142.87;9068.64
773;1342.05;8458.59
774;5378.88;9840.12
775;7101.84;7836.85
776;7101.46;5341.12
777;4679.44;9813.85
778;7165.92;4439.86
779;8863.46;1900.59
780;9955.43;5349.26
781;9839.75;90.09
782;1038.84;3176.80
783;8126.47;144.70
784;2065.95;5140.58
785;9567.85;5366.02
786;2176.12;3831.26
787;2937.02;7541.11
788;3885.53;6292.65
789;3918.99;932.05
790;9670.62;8148.30
791;7027.99;1412.49
792;5279.38;7519.52
793;1359.21;4153.61
794;7179.18;3059.90
795;6983.03;3623.23
796;4489.59;4074.18
797;6260.60;9085.52
798;250.07;8394.59
799;8392.96;7275.42
800;2937.28;5454.80
801;6111.34;1470.24
802;6773.65;7832.35
803;574.71;2792.68
804;8558.01;4422.63
805;4261.19;5252.97
806;9501.50;2362.47
807;1923.28;774.55
808;2865.94;2839.43
809;6522.44;4246.10
810;2079.32;8002.38
811;466.85;1504.41
812;9441.87;2332.07
813;2446.82;5076.22
814;2538.95;2035.07
815;6695.55;3493.59
816;4040.53;292.27
817;4598.65;46.09
818;694.83;4523.08
819;8234.02;5944.54
820;9012.50;4219.22
821;1644.43;1044.73
822;8390.14;4356.73
823;8428.20;2515.98
824;7235.99;9912.92
825;3579.38;8138.22
826;4038.05;1594.48
827;3416.63;6272.57
828;3253.81;1526.03
829;9911.08;8974.14
830;5403.26;353.21
831;4756.47;8202.30
832;1810.85;3982.03
833;4120.52;7632.37
834;7069.28;9006.30
835;7174.80;4183.97
836;6487.43;767.59
837;221.06;4055.18
838;1536.60;6947.14
839;3515.17;7788.00
840;3623.73;2606.81
841;9735.36;7689.31
842;5397.27;9676.14
843;1450.06;8793.04
844;9230.72;5025.33
845;9910.77;1472.89
846;4530.97;6468.83
847;9029.27;9801.42
848;9082.79;5311.95
849;6493.43;4800.07
850;4768.07;7382.95
851;8634.81;5836.11
852;4687.53;1885.63
853;6881.39;6596.09
854;6964.92;8862.41
855;1412.33;4302.11
856;327.85;1575.79
857;1977.08;2135.62
858;7936.64;9695.77
859;6749.67;5195.02
860;8871.79;2823.57
861;7559.41;9737.24
862;1192.81;1587.23
863;3872.66;3939.54
864;6545.42;5311.87
865;8495.89;5966.81
866;3921.32;1097.82
867;5128.56;1740.94
868;9363.94;9032.18
869;1614.95;482.57
870;9165.67;2214.63
871;3027.40;832.00
872;6416.54;8295.70
873;5558.93;4154.74
874;4641.12;1305.93
875;5611.65;4498.51
876;7700.13;8696.87
877;8437.90;6592.53
878;2134.87;8719.96
879;7224.33;4265.94
880;6697.37;7536.90
881;6604.78;1711.28
882;3935.76;3785.20
883;4246.12;9130.24
884;394.26;715.22
885;371.87;2472.56
886;5238.60;2469.97
887;7871.52;4215.51
888;1932.64;1596.66
889;4989.36;8430.07
890;3968.60;9459.07
891;8494.67;8741.30
892;3592.85;9862.11
893;7705.91;2214.16
894;1971.17;8905.47
895;8774.80;5682.51
896;301.93;850.51
897;4231.67;3587.71
898;4012.33;614.62
899;4951.95;8004.54
900;6362.65;8400.08
901;424.16;2206.28
902;3535.14;919.36
903;8483.04;8856.59
904;598.68;6696.35
905;7517.18;2715.29
906;6617.47;3.22
907;2568.70;5605.90
908;7611.17;9135.11
909;1713.16;8317.02
910;8076.23;9929.87
911;641.22;95.76
912;5342.13;4707.84
913;1459.19;1440.30
914;6163.72;136.52
915;6383.76;10.07
916;1639.90;4917.62
917;8227.10;2645.66
918;4801.05;9649.22
919;7351.37;8727.26
920;5021.96;6733.13
921;9117.89;1398.76
922;4794.14;7777.68
923;6763.87;3546.49
924;7330.47;9588.84
925;2110.78;4844.96
926;7977.65;7547.56
927;541.22;4668.71
928;8475.82;6938.83
929;7277.29;3217.72
930;732.01;8627.99
931;9151.30;9815.68
932;5963.50;5372.46
933;9780.50;3013.82
934;5818.92;9012.16
935;6340.80;1869.55
936;4399.63;6799.33
937;2979.99;1568.03
938;3980.70;7208.74
939;9319.27;9415.86
940;2670.37;1711.62
941;2462.63;9160.21
942;9248.70;9202.00
943;7466.73;2572.87
944;8990.71;4031.45
945;4319.64;7287.50
946;4406.18;6938.44
947;9135.19;8989.87
948;6517.72;551.18
949;3490.09;4234.49
950;5550.83;7597.65
951;8614.36;7397.45
952;4723.76;474.37
953;491.36;1574.25
954;7202.45;5405.36
955;7831.76;8592.42
956;4224.83;3065.33
957;7356.62;7732.89
958;1900.89;246.39
959;9857.79;6240.21
960;5259.52;3914.90
961;6099.88;7250.52
962;739.73;9835.33
963;3785.78;2377.67
964;2513.71;2830.50
965;5528.81;6871.50
966;3780.87;4702.77
967;3057.59;4998.89
968;1486.44;8858.03
969;4725.54;2096.66
970;1795.48;7754.91
971;1804.87;7607.08
972;4092.18;443.60
973;4016.03;330.40
974;3276.54;2664.35
975;6276.42;3115.10
976;3694.98;1242.82
977;6748.04;9255.49
978;3168.25;7849.84
979;921.94;6977.62
980;2269.55;4585.52
981;7698.12;1568.22
982;2257.74;5302.87
983;1202.42;6937.66
984;4884.85;2103.61
985;6428.08;9707.00
986;8674.28;6018.84
987;7697.54;9270.26
988;9205.27;4530.03
989;6410.89;6706.93
990;5441.37;6290.66
991;8580.42;3906.25
992;204.97;5176.49
993;3246.77;1813.33
994;526.99;1622.63
995;29.92;3318.75
996;2790.34;9097.89
997;7789.41;1987.00
998;8337.32;7522.33
999;6650.97;2555.37
1000;7526.32;3451.16
